,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,TotalSegments,TotalSections,AvgTatumDuration,Pitch1,Pitch2,Pitch3,Pitch4,Pitch5,Pitch6,Pitch7,Pitch8,Pitch9,Pitch10,Pitch11,Pitch12,Timbre1,Timbre2,Timbre3,Timbre4,Timbre5,Timbre6,Timbre7,Timbre8,Timbre9,Timbre10,Timbre11,Timbre12
27OeeYzk6klgBh83TSvGMA,0.662,0.413,0,-7.357,1,0.0299,0.213,0.0,0.134,0.467,93.005,161385,4,377,5,0.3226,0.471007957559682,0.1770636604774538,0.19583023872679056,0.16515649867374022,0.3790238726790451,0.3641591511936343,0.26733687002652523,0.40017241379310353,0.19864721485411152,0.35853315649867373,0.16500530503978783,0.20462599469496023,47.912119363395234,26.357551724137938,7.663989389920427,-14.666984084880626,26.044976127320947,-6.182912466843508,9.854222811671086,4.358164456233421,-10.09698143236074,0.8664562334217502,-10.697700265251981,-3.284928381962866
2XIc1pqjXV3Cr2BQUGNBck,0.856,0.618,7,-4.892,1,0.286,0.0303,0.0,0.0866,0.391,81.993,203201,4,686,4,0.3671,0.4813688046647226,0.5145204081632658,0.3621603498542272,0.2848294460641397,0.36411953352769694,0.3019008746355683,0.2842201166180757,0.3864402332361511,0.2361282798833817,0.2856078717201166,0.1832259475218661,0.3069081632653063,48.977912536443135,30.713392128279896,-25.844658892128265,3.709100583090382,29.4832478134111,3.0288192419825113,-0.7275189504373186,4.923275510204087,-8.556632653061227,5.000897959183675,-23.53960349854225,1.2420466472303204
60ynsPSSKe6O3sfwRnIBRf,0.749,0.463,11,-8.433,1,0.0842,0.21,0.0382,0.338,0.189,90.035,226987,4,840,4,0.3333,0.7106369047619043,0.4051797619047621,0.21896547619047588,0.24778333333333327,0.36624047619047584,0.22945714285714283,0.25193214285714277,0.23337976190476212,0.21183690476190484,0.17425476190476233,0.2619559523809522,0.4995630952380952,45.140576190476125,-12.929083333333345,-60.925001190476166,-22.2561345238095,20.92760714285714,-17.328358333333338,8.77991904761905,-15.959964285714289,2.66355238095238,-5.69112738095239,-15.479748809523807,-1.1058809523809503
1M4OcYkxAtu3ErzSgDEfoi,0.868,0.795,11,-6.044,1,0.269,0.0012,0.0193,0.0461,0.819,166.0,156945,4,657,7,0.1808,0.4715875190258756,0.6105829528158293,0.3902754946727553,0.37107458143074595,0.4849573820395738,0.4364931506849316,0.3727168949771687,0.34890410958904144,0.3037671232876711,0.274786910197869,0.28197260273972574,0.4153637747336378,47.21389802130891,47.769343987823426,-57.57324505327249,34.37221004566207,25.115465753424665,17.403701674277,-2.377777777777779,-0.8782785388127855,-4.805401826484016,5.343187214611875,-33.58261796042618,0.4577640791476404
3YJJjQPAbDT7mGpX3WtQ9A,0.436,0.655,1,-8.37,0,0.0583,0.499,8.1e-06,0.688,0.412,121.002,279204,4,706,10,0.2509,0.3757790368271955,0.5595014164305948,0.22921529745042468,0.3734022662889516,0.4615594900849856,0.29029178470254946,0.3571161473087818,0.20360481586402274,0.3589008498583569,0.240871104815864,0.19191643059490068,0.3549390934844195,47.32815864022661,10.921862606232278,22.270723796034005,-8.654565155807362,30.40867280453261,-16.441553824362593,-7.727019830028337,-2.015451841359772,-0.08616147308781824,0.3485297450424934,-8.018052407932014,-0.5427521246458922
5nujrmhLynf4yMoMtj8AQF,0.702,0.825,6,-3.787,0,0.0601,0.00883,0.0,0.0674,0.915,102.977,203064,4,670,5,0.2912,0.5403119402985077,0.502314925373134,0.31925074626865674,0.29233880597014944,0.40738507462686613,0.3403179104477614,0.3984044776119402,0.2970417910447761,0.32040895522388035,0.3776731343283583,0.3695537313432836,0.5138313432835823,52.25325373134325,50.74531343283581,-1.6071552238805962,-1.2007507462686546,27.986291044776117,-15.837123880597014,10.20164328358209,-1.3342179104477627,-9.529858208955229,5.128731343283583,-13.825613432835826,-3.5717985074626872
1t9WgS8FN0534tLBRwbaxO,0.719,0.648,3,-7.6,0,0.125,0.2,0.0,0.127,0.66,140.201,123263,4,439,5,0.2136,0.520362186788155,0.5929384965831436,0.24756036446469268,0.3001412300683373,0.2401685649202733,0.22276537585421421,0.33838952164009123,0.22883826879271088,0.32739863325740315,0.2761890660592255,0.37092938496583144,0.40740091116173116,47.0857517084283,55.014264236902065,33.6926264236902,20.48107061503417,47.63230296127559,-4.40551708428246,4.326334851936217,9.757400911161728,-9.816788154897491,3.7727722095672003,-17.61595899772209,-5.50441230068337
7vrJn5hDSXRmdXoR30KgF1,0.863,0.666,1,-4.158,0,0.152,0.212,0.000493,0.103,0.838,163.908,178947,4,671,8,0.1829,0.3774381520119223,0.6358956780923998,0.24022205663189278,0.32339195230998524,0.3217332339791358,0.20578390461997023,0.34056482861400894,0.2273651266766021,0.3732011922503725,0.3703576751117733,0.27419225037257783,0.3831430700447095,48.51460357675112,2.0194769001490345,-30.920555886736214,24.019147540983603,28.163786885245894,-1.0841818181818188,-9.306457526080479,-12.260533532041714,-6.532405365126679,-1.6240476900149043,-20.621836065573785,1.9953606557377042
4saklk6nie3yiGePpBwUoc,0.746,0.765,6,-4.41,0,0.0993,0.0112,0.0,0.0936,0.737,114.044,199054,4,607,5,0.2625,0.5181861614497528,0.5824448105436576,0.3138451400329486,0.3113261943986819,0.46051235584843486,0.30239538714991776,0.4021614497528834,0.297317957166392,0.3426869851729818,0.2566523887973641,0.2660016474464578,0.48051235584843494,51.64252224052712,62.06767545304773,-9.112084019769373,-9.286370675453036,14.433159802306434,-7.144522240527179,0.9750510708401969,2.9256754530477744,-9.030298187808908,5.585991762767701,-13.791948929159796,-4.006761120263592
3FAJ6O0NOHQV8Mc5Ri6ENp,0.449,0.465,0,-8.964,1,0.0791,0.524,1.02e-06,0.303,0.543,89.087,198371,3,469,7,0.2673,0.5342537313432836,0.3070746268656719,0.4397633262260127,0.25975692963752683,0.41200213219616255,0.2965309168443496,0.1989104477611943,0.31905970149253754,0.2302537313432838,0.26429637526652466,0.18375053304904077,0.32091257995735634,44.7328763326226,9.202614072494669,10.66429424307035,-13.785999999999998,24.87387633262259,-3.1315586353944567,-6.341055437100208,3.1985820895522417,-15.400059701492543,-4.609031982942431,-7.913490405117271,0.8800639658848607
0D75ciM842cdUMKSMfAR9y,0.824,0.545,5,-7.127,1,0.0699,0.0221,0.00375,0.097,0.683,149.912,186088,4,648,7,0.2001,0.5426898148148149,0.49511419753086383,0.29658333333333314,0.17315432098765446,0.24442438271604966,0.3234413580246912,0.20591820987654322,0.28329166666666694,0.17105864197530876,0.22248919753086432,0.1771111111111112,0.1729305555555556,46.37715123456792,29.37738271604935,-27.83846913580247,5.437074074074074,10.087527777777787,-8.149163580246915,-0.6324290123456817,-3.1830432098765407,-11.386466049382713,2.544847222222222,-19.626523148148138,-0.15626851851851845
35mvY5S1H3J2QZyna3TFe0,0.737,0.802,0,-4.771,1,0.0878,0.468,0.0,0.0931,0.682,144.015,172325,4,539,6,0.2083,0.7298181818181818,0.4925380333951764,0.40686085343228157,0.2617309833024114,0.3079350649350653,0.2852931354359927,0.17186641929499077,0.2951595547309829,0.19746011131725424,0.2923079777365492,0.19486085343228207,0.21243599257884987,49.99860667903523,55.62005194805198,-24.812326530612236,-4.972999999999998,42.07768274582567,-13.953910946196672,-17.601955473098318,-8.440831168831162,-9.045473098330246,4.99469758812616,-15.164777365491647,0.9148293135435998
6Im9k8u9iIzKMrmV7BWtlF,0.83,0.585,0,-6.476,1,0.094,0.237,0.0,0.248,0.485,109.978,173711,4,526,5,0.2731,0.5499334600760456,0.4344277566539924,0.32922623574144505,0.2286197718631181,0.25564828897338404,0.3593954372623578,0.2465703422053234,0.3943574144486689,0.216403041825095,0.3243174904942963,0.20138212927756644,0.24453231939163508,47.68276045627383,70.66949999999994,-10.935482889733843,-9.585385931558926,44.99509695817485,-0.40186882129277623,-8.803178707224335,-6.143513307984793,-3.157929657794677,7.707990494296579,-19.682197718631166,-1.1148365019011404
5YYW3yRktprLRr47WK219Y,0.585,0.611,6,-4.132,1,0.288,0.39,0.0,0.649,0.962,97.041,218107,4,848,7,0.2885,0.37758962264150975,0.5552570754716979,0.29302830188679224,0.38115566037735843,0.2459091981132075,0.2107759433962261,0.33028419811320786,0.2505235849056608,0.4221179245283021,0.2683278301886795,0.3035648584905662,0.34290330188679274,51.60233018867927,14.277811320754713,11.362636792452829,8.421987028301885,34.72620872641506,-0.33089858490565954,8.888382075471702,3.3235884433962193,-15.986704009433948,3.6940117924528333,-19.411288915094335,3.0980636792452785
7hxHWCCAIIxFLCzvDgnQHX,0.8,0.658,1,-6.142,0,0.079,0.25,0.0,0.111,0.462,140.042,195429,4,676,7,0.2143,0.3661331360946745,0.49732100591715994,0.19593195266272184,0.3205798816568049,0.2654082840236686,0.17827958579881661,0.33777366863905317,0.2133979289940828,0.39983727810650893,0.3042115384615387,0.21185502958579908,0.3258150887573965,48.1146612426035,25.969534023668633,-11.429936390532546,-7.40077366863906,30.93173520710059,-5.355742603550289,-7.316770710059177,-2.1588979289940866,-10.065073964497051,0.3429541420118344,-14.625423076923083,-2.7229393491124267
