iter	Passed	Remaining
399	37662	56493
400	37753	56394
401	37844	56296
402	37932	56192
403	38025	56097
404	38116	55997
405	38205	55897
406	38296	55798
407	38387	55699
408	38478	55601
409	38570	55504
410	38662	55407
411	38753	55308
412	38847	55213
413	38939	55116
414	39031	55020
415	39123	54923
416	39213	54823
417	39303	54724
418	39397	54630
419	39485	54528
420	39580	54434
421	39671	54337
422	39759	54234
423	39856	54144
424	39950	54051
425	40046	53959
426	40135	53859
427	40228	53763
428	40317	53663
429	40408	53564
430	40499	53466
431	40587	53364
432	40677	53266
433	40770	53170
434	40858	53069
435	40959	52984
436	41057	52895
437	41161	52814
438	41255	52720
439	41355	52633
440	41449	52539
441	41554	52459
442	41648	52365
443	41747	52278
444	41842	52185
445	41948	52106
446	42046	52016
447	42143	51927
448	42244	51840
449	42345	51755
450	42452	51676
451	42552	51590
452	42650	51501
453	42747	51410
454	42842	51316
455	42945	51232
456	43045	51145
457	43142	51054
458	43235	50959
459	43335	50871
460	43434	50783
461	43535	50697
462	43630	50603
463	43726	50511
464	43819	50416
465	43915	50323
466	44013	50233
467	44107	50138
468	44197	50040
469	44291	49946
470	44383	49849
471	44476	49753
472	44567	49655
473	44659	49558
474	44749	49459
475	44839	49361
476	44931	49264
477	45024	49169
478	45119	49075
479	45210	48977
480	45304	48883
481	45398	48788
482	45491	48693
483	45583	48597
484	45678	48504
485	45770	48407
486	45863	48312
487	45956	48217
488	46049	48120
489	46137	48020
490	46229	47923
491	46320	47826
492	46415	47733
493	46508	47638
494	46601	47543
495	46695	47448
496	46786	47351
497	46878	47254
498	46971	47159
499	47064	47064
500	47154	46966
501	47244	46868
502	47335	46771
503	47432	46679
504	47528	46587
505	47623	46494
506	47713	46396
507	47807	46301
508	47898	46204
509	47988	46106
510	48082	46012
511	48176	45918
512	48267	45821
513	48359	45725
514	48452	45630
515	48545	45535
516	48638	45440
517	48736	45349
518	48828	45253
519	48919	45156
520	49012	45061
521	49104	44965
522	49197	44869
523	49288	44773
524	49380	44677
525	49470	44579
526	49563	44484
527	49656	44390
528	49747	44292
529	49837	44195
530	49929	44099
531	50021	44004
532	50119	43913
533	50220	43824
534	50319	43735
535	50419	43646
536	50519	43558
537	50616	43465
538	50711	43373
539	50811	43283
540	50908	43192
541	51006	43101
542	51109	43014
543	51211	42927
544	51312	42839
545	51410	42747
546	51511	42659
547	51605	42565
548	51705	42475
549	51804	42385
550	51901	42293
551	51995	42199
552	52086	42102
553	52175	42004
554	52270	41910
555	52360	41812
556	52456	41720
557	52549	41625
558	52636	41525
559	52728	41429
560	52818	41332
561	52909	41235
562	53001	41139
563	53091	41041
564	53180	40943
565	53272	40848
566	53365	40753
567	53454	40655
568	53547	40560
569	53641	40466
570	53732	40370
571	53824	40273
572	53916	40178
573	54009	40083
574	54106	39992
575	54201	39898
576	54292	39801
577	54385	39707
578	54487	39618
579	54579	39523
580	54670	39426
581	54765	39333
582	54854	39235
583	54943	39137
584	55034	39041
585	55124	38944
586	55215	38848
587	55302	38749
588	55398	38656
589	55487	38558
590	55580	38464
591	55675	38370
592	55766	38274
593	55862	38182
594	55953	38086
595	56044	37989
596	56139	37896
597	56227	37798
598	56316	37700
599	56411	37607
600	56506	37514
601	56598	37418
602	56691	37324
603	56781	37227
604	56874	37133
605	56965	37036
606	57061	36944
607	57157	36851
608	57246	36754
609	57337	36658
610	57429	36563
611	57524	36469
612	57619	36376
613	57713	36282
614	57806	36187
615	57900	36093
616	57993	35999
617	58091	35907
618	58183	35812
619	58274	35716
620	58366	35621
621	58458	35526
622	58557	35435
623	58652	35341
624	58749	35249
625	58840	35153
626	58938	35062
627	59035	34969
628	59135	34879
629	59234	34788
630	59337	34699
631	59435	34608
632	59540	34520
633	59641	34430
634	59734	34335
635	59832	34243
636	59929	34151
637	60028	34059
638	60132	33971
639	60239	33884
640	60343	33796
641	60450	33708
642	60557	33621
643	60657	33531
644	60761	33442
645	60860	33350
646	60960	33259
647	61063	33170
648	61168	33081
649	61271	32992
650	61382	32907
651	61486	32818
652	61589	32728
653	61690	32637
654	61790	32545
655	61892	32455
656	61993	32364
657	62097	32275
658	62200	32185
659	62298	32093
660	62399	32002
661	62498	31910
662	62600	31819
663	62699	31727
664	62801	31636
665	62896	31542
666	62996	31451
667	63096	31359
668	63197	31267
669	63295	31175
670	63391	31081
671	63494	30991
672	63626	30915
673	63736	30828
674	63844	30739
675	63951	30651
676	64056	30561
677	64171	30476
678	64282	30390
679	64392	30302
680	64497	30212
681	64600	30121
682	64702	30030
683	64807	29940
684	64911	29849
685	65015	29759
686	65118	29668
687	65222	29577
688	65326	29487
689	65426	29394
690	65523	29300
691	65616	29204
692	65710	29109
693	65806	29015
694	65899	28920
695	65996	28826
696	66092	28731
697	66188	28637
698	66281	28541
699	66375	28446
700	66471	28352
701	66567	28257
702	66668	28165
703	66764	28071
704	66860	27977
705	66955	27882
706	67051	27787
707	67147	27693
708	67251	27602
709	67346	27507
710	67447	27415
711	67545	27321
712	67642	27227
713	67740	27133
714	67837	27040
715	67934	26945
716	68028	26850
717	68126	26757
718	68229	26665
719	68336	26575
720	68434	26481
721	68534	26388
722	68630	26293
723	68726	26199
724	68823	26105
725	68921	26011
726	69019	25917
727	69120	25825
728	69220	25732
729	69319	25638
730	69422	25546
731	69522	25453
732	69621	25360
733	69721	25266
734	69821	25173
735	69919	25079
736	70016	24985
737	70114	24891
738	70213	24798
739	70322	24707
740	70428	24616
741	70530	24524
742	70636	24432
