iter	RMSE
0	0.2102069819
1	0.2064054101
2	0.2030933151
3	0.1999922945
4	0.1968924254
5	0.1940094285
6	0.1913120398
7	0.1887143192
8	0.1861265418
9	0.1837574428
10	0.1816036627
11	0.1795853372
12	0.1777095979
13	0.1757486184
14	0.173877796
15	0.1720854659
16	0.1705556677
17	0.169130435
18	0.1676804305
19	0.1663172415
20	0.1648229349
21	0.1633621888
22	0.1619165204
23	0.1606414765
24	0.1593879936
25	0.1583400215
26	0.1573066317
27	0.1562248799
28	0.1551632004
29	0.1540519491
30	0.1530678884
31	0.1523455214
32	0.1515343384
33	0.1507143682
34	0.1499661737
35	0.1489684384
36	0.1482397235
37	0.1475908337
38	0.1467801681
39	0.1461241491
40	0.14539643
41	0.1446079479
42	0.1438977788
43	0.143269915
44	0.1426708334
45	0.1421237368
46	0.1416964806
47	0.1409995374
48	0.1402744941
49	0.1396368865
50	0.1391291838
51	0.1384927242
52	0.1380241742
53	0.137466388
54	0.1370228442
55	0.1365804674
56	0.1361490572
57	0.1356105086
58	0.1350474792
59	0.1345017302
60	0.1340198471
61	0.1336219032
62	0.133113696
63	0.1327550593
64	0.1323455073
65	0.1318647944
66	0.1314941863
67	0.1309095024
68	0.130657786
69	0.1302326849
70	0.1298364281
71	0.1293430201
72	0.1289586687
73	0.1285403252
74	0.1281755211
75	0.1278708084
76	0.1274530654
77	0.1270976542
78	0.1265831196
79	0.1262322628
80	0.1258281864
81	0.1255492654
82	0.1250811189
83	0.1246943833
84	0.1242230463
85	0.123814077
86	0.1234509305
87	0.123162442
88	0.1226263136
89	0.1223044975
90	0.1218212509
91	0.1213905162
92	0.1210873618
93	0.1206854908
94	0.1203310975
95	0.1200195062
96	0.1197295945
97	0.1193877641
98	0.1190931833
99	0.118701651
100	0.1183959971
101	0.1180022864
102	0.1176138827
103	0.1173324834
104	0.1169864029
105	0.116657229
106	0.1164322477
107	0.1160596698
108	0.1157835444
109	0.115471269
110	0.1151566512
111	0.1146873036
112	0.1144503335
113	0.1142398786
114	0.1139528295
115	0.1136993987
116	0.1132714085
117	0.1128841108
118	0.1126897078
119	0.1123838287
120	0.112081086
121	0.1117524231
122	0.1112931033
123	0.1109400554
124	0.1106017118
125	0.1102835835
126	0.1099352798
127	0.1095594095
128	0.1092832208
129	0.1089387687
130	0.108737038
131	0.1084663184
132	0.1080644803
133	0.1077799479
134	0.1074167645
135	0.1071640112
136	0.1069341598
137	0.1066652323
138	0.1062662559
139	0.1059349597
140	0.1057186464
141	0.1054719138
142	0.1052340975
143	0.1049632168
144	0.1047974943
145	0.1045245602
146	0.1042618457
147	0.103980747
148	0.1037097269
149	0.1034770827
150	0.1032220683
151	0.1030133616
152	0.1027748879
153	0.1025140226
154	0.1022490231
155	0.1019434536
156	0.1016776258
157	0.1014703259
158	0.1011453981
159	0.1009209844
160	0.100599007
161	0.1003944261
162	0.1001434443
163	0.09997535236
164	0.09970351624
165	0.09946531089
166	0.0992855695
167	0.09912599463
168	0.09888317976
169	0.09873819035
170	0.09850274781
171	0.09822174402
172	0.09793438765
173	0.09771521688
174	0.09752752055
175	0.09727924679
176	0.09706620885
177	0.09684735273
178	0.09663189647
179	0.09642078587
180	0.09615404672
181	0.09578490177
182	0.09556851927
183	0.09541062849
184	0.09523349277
185	0.09500770725
186	0.09480420128
187	0.09457552334
188	0.09422468729
189	0.093988288
190	0.09379641786
191	0.09358521917
192	0.09323960615
193	0.09297358036
194	0.09273727314
195	0.09244541199
196	0.09220535988
197	0.0920096478
198	0.09185534683
199	0.09166736793
200	0.09146740191
201	0.09132911419
202	0.09115090783
203	0.09091153588
204	0.09066945301
205	0.09052754897
206	0.0903128725
207	0.09013070251
208	0.08982227537
209	0.08967473041
210	0.08949607428
211	0.08931102941
212	0.08909123049
213	0.0889643783
214	0.08881325881
215	0.08865330049
216	0.0883048419
217	0.08812297637
218	0.08787543073
219	0.08768803548
220	0.08751776455
221	0.08725828234
222	0.08702782746
223	0.08683264461
224	0.08662546489
225	0.08640633854
226	0.08620519221
227	0.08603357837
228	0.08582496287
229	0.08558661491
230	0.08542172942
231	0.08522810551
232	0.08498385424
233	0.08476899295
234	0.0846108207
235	0.08445057957
236	0.08420783894
237	0.08401727747
238	0.08379537168
239	0.08365356549
240	0.08350370318
241	0.08339286549
242	0.08315403536
243	0.08297223394
244	0.08275259661
245	0.08250718484
246	0.08234018316
247	0.08214170807
248	0.08197277652
249	0.08175353893
250	0.08165490829
251	0.08144609649
252	0.08125121405
253	0.0810903203
254	0.08092146825
255	0.08073432804
256	0.08055823917
257	0.0803677519
258	0.08019073749
259	0.0799335745
260	0.07977584505
261	0.07957605717
262	0.07937156293
263	0.079230547
264	0.07909406776
265	0.07891397007
266	0.0786381178
267	0.0785007377
268	0.07835348386
269	0.07818962256
270	0.07802717958
271	0.0778112104
272	0.07763993033
273	0.07747909239
274	0.07735545433
275	0.07710584161
276	0.07690663822
277	0.07679931653
278	0.07663107604
279	0.07638948169
280	0.07623613868
281	0.07607465229
282	0.07595247038
283	0.07584614441
284	0.07563827796
285	0.07546725988
286	0.07520892112
287	0.07506062727
288	0.07492038308
289	0.07481034843
290	0.07464627362
291	0.07446838078
292	0.07430112829
293	0.07412663425
294	0.07398801986
295	0.07386428772
296	0.07364694146
297	0.07349419819
298	0.07334378753
299	0.07319124729
300	0.07302110414
301	0.07286172941
302	0.07269509423
303	0.07256962515
304	0.07242227331
305	0.0722804719
306	0.07211908108
307	0.07194580689
308	0.07183315046
309	0.07169152629
310	0.07152860023
311	0.07132298351
312	0.07120437277
313	0.07097271997
314	0.07085940433
315	0.07074343801
316	0.07063221953
317	0.07050137569
318	0.07032391563
319	0.07019526645
320	0.06997863426
321	0.06983517148
322	0.06966118083
323	0.0694585409
324	0.0693040073
325	0.06919249062
326	0.069063222
327	0.0689336478
328	0.06883810984
329	0.06867355361
330	0.06855202992
331	0.06834590415
332	0.06820375048
333	0.0680641779
334	0.06790144606
335	0.06780405797
336	0.06769480704
337	0.06754161845
338	0.06738788861
339	0.06722573038
340	0.06708765458
341	0.06698755197
342	0.06688890808
343	0.06674223721
344	0.06657154075
345	0.06644121469
346	0.06636223921
347	0.06621384176
348	0.06610953862
349	0.06592524506
350	0.06578292637
351	0.06559738272
352	0.06543838756
353	0.06528881761
354	0.0651651271
355	0.0650496772
356	0.06487129833
357	0.06470679494
358	0.06462232749
359	0.06437337437
360	0.06428391
361	0.06414231457
362	0.06400997516
363	0.0639055356
364	0.06377418547
365	0.06362882772
366	0.06349661024
367	0.06336676202
368	0.06321409631
369	0.0630320801
370	0.06294286987
371	0.06277441131
372	0.06259173871
373	0.06245180549
374	0.06231700448
375	0.06220356916
376	0.06208120873
377	0.06195502231
378	0.06182775972
379	0.06168751515
380	0.06153434829
381	0.0613548
382	0.06127864161
383	0.06112898202
384	0.06106528453
385	0.0608875164
386	0.0607510005
387	0.06058116021
388	0.06048402735
389	0.06037244239
390	0.06023914856
391	0.06014007334
392	0.0600082571
393	0.05986781955
394	0.05970853507
395	0.05957135858
396	0.05943149399
397	0.05936371683
398	0.05925482136
399	0.05909565612
400	0.05898121527
401	0.05888960533
402	0.05878382335
403	0.05860912479
404	0.05850824712
405	0.05838024428
406	0.05826088985
407	0.05816629276
408	0.05805719058
409	0.05784218219
410	0.05773268837
411	0.0575935217
412	0.05742227912
413	0.05727414064
414	0.05707901237
415	0.05698665396
416	0.05686323158
417	0.05677882959
418	0.05669476246
419	0.05661974326
420	0.05651466517
421	0.05637515574
422	0.05628976351
423	0.05614795921
424	0.05598598016
425	0.05584849587
426	0.05578239907
427	0.05571310902
428	0.05561838541
429	0.05552809884
430	0.05536957674
431	0.05528721978
432	0.05521130897
433	0.05507728023
434	0.05492607652
435	0.054789334
436	0.05467308729
437	0.05459476859
438	0.05444761094
439	0.05433601542
440	0.05422076762
441	0.05412531651
442	0.05402562181
443	0.05398156816
444	0.05386557673
445	0.05375036172
446	0.05362367282
447	0.05351042032
448	0.05339949615
449	0.0532923864
450	0.0531825634
451	0.05299914507
452	0.05286003369
453	0.05278627784
454	0.05273826341
455	0.05260142623
456	0.05250093257
457	0.05240985063
458	0.05233720614
459	0.05221390436
460	0.05208957382
461	0.05200373429
462	0.05192233901
463	0.05178824784
464	0.05168221498
465	0.05157945464
466	0.05146559628
467	0.05137662404
468	0.05129189998
469	0.05114162764
470	0.05102801785
471	0.05092313678
472	0.05083619732
473	0.05074713685
474	0.0506792837
475	0.05055898814
476	0.05045471726
477	0.05035521506
478	0.05026839129
479	0.05021440222
480	0.05011605365
481	0.05000018634
482	0.04988076615
483	0.0497663131
484	0.04963070139
485	0.04950890595
486	0.04941621861
487	0.0493652265
488	0.04928650486
489	0.04920653406
490	0.04911151444
491	0.04898092852
492	0.04884648908
493	0.04877348994
494	0.04867652922
495	0.04858339736
496	0.04847832729
497	0.04837006286
498	0.04823576164
499	0.04810310836
500	0.04802659663
501	0.04795551336
502	0.04786423659
503	0.04777361215
504	0.04768550127
505	0.04753518754
506	0.04744551637
507	0.04731972356
508	0.04718602325
509	0.04711545459
510	0.04703529409
511	0.04696082007
512	0.04681115636
513	0.04675664855
514	0.04668151553
515	0.04658656359
516	0.04649547922
517	0.04639601592
518	0.04630254707
519	0.04622074138
520	0.04612384933
521	0.04603358697
522	0.04590873737
523	0.04581124878
524	0.04568155598
525	0.04559127043
526	0.04551088448
527	0.0453896496
528	0.04531177561
529	0.04524736585
530	0.04516778039
531	0.04502779495
532	0.04493074661
